condition,cell_id,cell_area,nucleus_area,cytoplasm_area,nc_ratio,dna_intensity,dna_nucleus_intensity,er_intensity,agp_intensity,mito_intensity,rna_intensity,eccentricity,solidity,dna_texture,mito_texture
CASP8_OE,21,5892.0,942,4950,0.159877800407332,7.758146639511201,40.87579617834395,27.896978954514594,34.81788866259335,21.605057705363205,21.247793618465717,0.7722020311988599,0.967487684729064,9.48965623897032,19.4383805840021
CASP8_OE,22,8519.0,964,7555,0.1131588214579176,5.161286535978401,37.40041493775934,17.328559690104473,25.87416363422937,14.949172438079588,13.211527174551003,0.9610283546132911,0.7716485507246377,10.808760078456539,11.187602933799251
CASP8_OE,23,6433.0,1209,5224,0.18793719881859164,10.018187470853412,46.112489660876754,29.836623659256958,32.90144567076014,24.566920565832426,22.553085652106326,0.7313265150102868,0.961872009569378,21.871318929908277,24.577073813527274
CASP8_OE,24,4112.0,972,3140,0.23638132295719844,11.285992217898833,40.97633744855967,42.83171206225681,51.882538910505836,33.13424124513619,32.797665369649806,0.8385833589496176,0.9418231791113147,13.210874984702457,27.50381074955338
CASP8_OE,25,6784.0,912,5872,0.13443396226415094,6.576945754716981,41.04934210526316,24.12102004716981,31.90005896226415,20.6764445754717,16.54525353773585,0.7303736516751583,0.7862772369031061,10.77118371814266,20.895223778312328
CASP8_OE,26,4810.0,545,4265,0.11330561330561331,5.048648648648649,35.26788990825688,16.71122661122661,19.57234927234927,15.623908523908524,12.46049896049896,0.912349366343137,0.9323512308586935,7.009677199885556,16.919588780923153
CASP8_OE,27,4276.0,529,3747,0.12371375116931711,5.4787184284377926,35.93950850661626,16.639382600561273,20.940364826941067,15.7411131898971,12.473105706267539,0.8814253569684832,0.9466460039849458,8.459183025103314,15.381509530296208
CASP8_OE,28,1025.0,373,652,0.36390243902439023,22.40390243902439,52.46916890080429,86.36682926829268,59.402926829268296,41.91317073170732,70.28292682926829,0.6125485047740487,0.9771210676835081,29.074043196313855,30.837501277963682
CASP8_OE,29,2078.0,306,1772,0.1472569778633301,5.085178055822906,26.320261437908496,17.41385948026949,25.45861405197305,14.508662175168432,13.766121270452357,0.9382684770080525,0.9733021077283373,3.897633930790269,9.116647140908858
FADD_OE,1,744.0,436,327,0.5860215053763441,48.02956989247312,79.40366972477064,85.58198924731182,78.77956989247312,77.43951612903226,109.46639784946237,0.8423278600543734,0.96875,64.00317068780853,49.63944297321033
FADD_OE,2,130.0,997,123,7.6692307692307695,4.061538461538461,32.78234704112337,40.65384615384615,43.8,18.276923076923076,32.23076923076923,0.5671339939515184,0.9558823529411765,7.5663411145353665,6.110539929077632
FADD_OE,3,211.0,500,137,2.3696682464454977,13.635071090047393,29.706,65.48815165876778,40.10900473933649,40.985781990521325,52.22274881516588,0.8366660124168469,0.9017094017094017,7.466429133126491,12.977369537895111
FADD_OE,4,292.0,576,197,1.9726027397260273,11.17123287671233,26.01388888888889,77.45205479452055,43.863013698630134,40.02739726027397,57.5513698630137,0.476040558793796,0.948051948051948,4.642775318095954,10.802679275398107
FADD_OE,5,88.0,1093,56,12.420454545454545,13.375,28.932296431838974,63.21590909090909,42.11363636363637,28.806818181818183,39.86363636363637,0.7992922984170132,0.9361702127659575,6.093281433179543,4.40004636996603
FADD_OE,6,1565.0,893,672,0.5706070287539936,27.097124600638978,42.83426651735722,133.71309904153355,111.77380191693291,57.96869009584665,122.14504792332268,0.29936321813173045,0.978125,21.356240160171275,37.48924843370972
TNFRSF10B_OE,1,7422.0,2094,5328,0.28213419563459985,20.913096200485043,65.25358166189112,39.65844785772029,29.931420102398274,26.589733225545675,37.6630288331986,0.7898735568020816,0.8050764725024406,32.04924240818574,26.10679035262158
TNFRSF10B_OE,2,6461.0,1043,5418,0.16143011917659805,11.070422535211268,53.7085330776606,24.211577155239127,17.393282773564465,16.920290976629005,20.4352267450859,0.6820562219200045,0.9243204577968527,11.178813085029969,15.289336345624685
TNFRSF10B_OE,3,2195.0,684,1511,0.31161731207289295,28.782232346241457,81.9546783625731,57.22141230068337,38.381776765375854,42.65193621867881,51.41412300683371,0.9169738273288348,0.8478176902278872,33.018858580704645,41.707376749135605
TNFRSF10B_OE,4,6008.0,1084,4924,0.1804260985352863,11.557090545938749,47.70479704797048,29.465213049267643,20.898801597869507,24.14297603195739,28.047436750998667,0.7625602255267829,0.8324788693362893,8.25200048737767,20.401757807500562
TNFRSF10B_OE,5,6397.0,752,5645,0.1175551039549789,10.043301547600437,67.65425531914893,21.770986399874943,16.8832265124277,20.316710958261684,18.957323745505708,0.81117486695122,0.8497608926673751,20.407488012948626,20.561404445194913
TNFRSF10B_OE,6,3849.0,827,3022,0.21486100285788517,16.697583787996884,64.69407496977026,40.01013250194856,29.07560405300078,33.58067030397506,32.69992205767732,0.6318151425179211,0.9759127789046653,16.954937108188464,30.965620112649592
