Metadata_JCP2022,mean,std,count
JCP2022_806754,11.699956,12.957517,5
JCP2022_807193,11.691662,1.5920477,5
JCP2022_807487,11.678781,2.5223753,5
JCP2022_801729,11.6737795,1.2005905,5
JCP2022_801787,11.654266,9.290361,5
JCP2022_800427,11.649244,2.0841167,5
JCP2022_801003,11.621538,3.362886,5
JCP2022_801448,11.60819,15.01044,5
JCP2022_807355,11.578241,2.658746,10
JCP2022_803133,11.567465,11.792241,5
JCP2022_801534,11.502873,1.5240526,5
JCP2022_807587,11.496321,15.208655,5
JCP2022_802059,11.485722,0.9584663,5
JCP2022_804370,11.485155,0.49489388,5
JCP2022_805344,11.46387,2.243498,5
JCP2022_804671,11.430319,3.7543998,5
JCP2022_800761,11.429625,1.1576957,5
JCP2022_802189,11.419517,0.8056684,5
JCP2022_801179,11.418097,0.8057319,5
JCP2022_807623,11.384203,1.1091206,5
JCP2022_805393,11.348277,1.0102929,5
JCP2022_801137,11.338971,0.8323989,5
JCP2022_802775,11.301458,1.7254186,5
JCP2022_802317,11.299025,6.5717635,5
JCP2022_805343,11.265199,1.934691,5
JCP2022_800452,11.21806,2.0323915,5
JCP2022_802324,11.166109,13.936127,5
JCP2022_807460,11.130588,11.816041,5
JCP2022_803035,11.11442,1.7647256,5
JCP2022_805437,11.1128435,4.8342123,5
JCP2022_800450,11.096316,3.9772024,10
JCP2022_806777,11.080573,1.0691186,5
JCP2022_805161,11.074102,7.2938476,5
JCP2022_800864,11.041957,5.919218,5
JCP2022_805363,11.027107,0.9673269,5
JCP2022_800451,11.003969,0.9231862,5
JCP2022_804715,11.002085,1.7795552,5
JCP2022_807721,10.977328,7.3517046,5
JCP2022_806147,10.945211,4.0494046,5
JCP2022_801452,10.864032,12.509683,5
JCP2022_805108,10.849788,2.303248,10
JCP2022_801437,10.844709,1.3367577,5
JCP2022_801016,10.832117,6.3893633,5
JCP2022_806381,10.827803,14.555296,5
JCP2022_805163,10.775449,4.120649,5
JCP2022_806782,10.77257,8.206507,5
JCP2022_802739,10.759389,10.491406,5
JCP2022_804756,10.694382,2.0085218,5
JCP2022_807293,10.69159,0.88089156,5
JCP2022_800943,10.679955,3.1387053,5
JCP2022_800730,10.671052,0.99163294,5
JCP2022_807533,10.667526,1.990213,7
JCP2022_800793,10.655978,1.6829188,5
JCP2022_804113,10.639204,1.1156895,5
JCP2022_800953,10.601876,2.7795467,5
JCP2022_802078,10.537146,10.437236,5
JCP2022_807921,10.532154,10.441679,5
JCP2022_802105,10.517832,8.852045,5
JCP2022_804106,10.513792,1.045043,5
JCP2022_801739,10.50344,3.311343,6
JCP2022_806672,10.479326,13.150809,7
JCP2022_801142,10.463281,1.4933804,5
JCP2022_801418,10.4491205,5.551776,5
JCP2022_800478,10.433736,5.5825753,7
JCP2022_800353,10.43098,13.003112,6
JCP2022_805458,10.418848,1.1139058,5
JCP2022_802926,10.393501,2.8719726,5
JCP2022_804109,10.364341,2.0300703,5
JCP2022_807751,10.36346,12.869736,7
JCP2022_801736,10.363208,1.9024143,5
JCP2022_804974,10.350896,1.4247553,5
JCP2022_804110,10.330271,1.4137013,5
JCP2022_805803,10.327659,2.354567,10
JCP2022_802500,10.319204,0.99585027,5
JCP2022_805496,10.308523,10.443144,5
JCP2022_803270,10.304907,0.50450546,5
JCP2022_806318,10.286326,12.336576,5
JCP2022_801066,10.2352085,5.104649,7
JCP2022_805130,10.234953,1.2738732,5
JCP2022_807061,10.229396,4.811828,6
JCP2022_807678,10.2286415,1.1244242,5
JCP2022_800736,10.220714,9.98557,6
JCP2022_805321,10.215932,0.7934917,5
JCP2022_800436,10.213109,1.1022567,6
JCP2022_801727,10.209108,0.45234746,5
JCP2022_805921,10.170461,1.0599833,5
JCP2022_803290,10.169283,10.950745,5
JCP2022_806338,10.158748,0.6054733,5
JCP2022_803512,10.148561,11.822467,5
JCP2022_805322,10.139315,0.8408745,5
JCP2022_804679,10.13917,11.10362,5
JCP2022_801415,10.125124,1.2042117,5
JCP2022_800839,10.093862,1.8652209,5
JCP2022_801740,10.0909195,1.9494715,5
JCP2022_807045,10.090607,3.840605,5
JCP2022_805281,10.089406,1.2914948,7
JCP2022_800504,10.084562,0.8634572,5
JCP2022_803269,10.07939,2.0902169,5
JCP2022_806487,10.055373,4.951243,6
JCP2022_807400,10.051856,2.2711034,6
JCP2022_803686,10.042598,0.49422053,5
JCP2022_804813,10.012224,2.3917122,5
JCP2022_802633,9.98761,7.5981627,5
JCP2022_800545,9.976073,1.4685545,5
JCP2022_807648,9.965851,1.3078852,5
JCP2022_807036,9.959931,3.502208,5
JCP2022_801976,9.959535,1.1881361,5
